stock,QUAL,MTUM,VLUE,IWM,IVW,IYW,IYC,IVV
IFF,0,0,0,0,0,0,0,0.09274
TDG,0,0,0,0,0.08178,0,0,0.09202
RMD,0,0,0,0,0.10586,0,0,0.09131
AMP,0,0.33692,0,0,0.112,0,0,0.09095
ROST,0,0,0,0,0,0,0.61925,0.09016
AVB,0.24265,0,0,0,0.07534,0,0,0.08939
PEG,0,0,0,0,0,0,0,0.08886
CTAS,0.46503,0,0,0,0.08127,0,0,0.08831
MTD,0,0,0,0,0.11114,0,0,0.08781
OTIS,0,0,0,0,0.07077,0,0,0.0873
TROW,0.90605,0.40651,0,0,0.12233,0,0,0.08691
DLTR,0,0,0,0,0,0,0.60161,0.0869
AJG,0,0.36131,0,0,0.07624,0,0,0.08661
SBAC,0,0,0,0,0.09594,0,0,0.08548
ROK,0.46293,0,0,0,0.08633,0,0,0.08334
EXPE,0,0,0,0,0,0,0.57341,0.0827
MTCH,0,0,0,0,0,0.32349,0,0.08232
VRSK,0,0,0,0,0.08392,0,0,0.08184
MNST,0.5104,0,0,0,0.08559,0,0,0.08172
FRC,0,0,0,0,0.16382,0,0,0.08171
AME,0,0,0,0,0,0,0,0.0809
KEYS,0,0.37222,0,0,0.12008,0,0,0.08057
FAST,0.45197,0,0,0,0.07621,0,0,0.07997
HSY,0.61768,0,0,0,0.07243,0,0,0.07977
BLL,0,0,0,0,0,0,0,0.07951
HAL,0,0,0,0,0,0,0,0.07853
EQR,0.19077,0,0,0,0,0,0,0.07786
ES,0,0,0,0,0,0,0,0.07738
WEC,0,0,0,0,0,0,0,0.07709
ANET,0,0.35005,0,0,0.15302,0,0,0.07679
WTW,0,0,0,0,0,0,0,0.07601
OKE,0,0,0,0,0.06467,0,0,0.07544
TWTR,0,0,0,0,0.07096,0.28538,0,0.07488
WST,0.29129,0.35628,0,0,0.14847,0,0,0.07469
DAL,0,0,0,0,0,0,0.51788,0.07457
LUV,0,0,0,0,0,0,0.51377,0.07368
AWK,0,0,0,0,0,0,0,0.07322
ODFL,0.40078,0.42991,0,0,0.14544,0,0,0.07214
CERN,0,0,0,0,0,0,0,0.07197
ANSS,0,0,0,0,0.08765,0.27786,0,0.07096
EFX,0,0.3338,0,0,0.14103,0,0,0.07083
ARE,0,0,0,0,0,0,0,0.07075
CPRT,0.38199,0,0,0,0.09589,0,0.48409,0.07056
HES,0,0,0,0,0.10023,0,0,0.06997
ZBH,0,0,0,0,0,0,0,0.06904
BKR,0,0,0,0,0,0,0,0.06877
EPAM,0,0.48549,0,0,0.1363,0.25353,0,0.06836
EXR,0,0.34945,0,0,0.13594,0,0,0.0682
LH,0,0,0,0,0.07315,0,0,0.06806
NTRS,0,0,0,0,0,0,0,0.06735
CDW,0.192,0,0,0,0.07949,0.26202,0,0.06668
VMC,0,0,0,0,0.06445,0,0,0.06663
TSCO,0.54096,0.24092,0,0,0.13195,0,0.46001,0.06652
RSG,0,0.37054,0,0,0.05904,0,0,0.06604
MKC,0,0,0,0,0,0,0,0.06594
CHD,0.27422,0,0,0,0,0,0,0.06474
KEY,0,0,0,0,0,0,0,0.06456
SYF,0,0,0,0,0.07388,0,0,0.06428
IT,0.15416,0.52917,0,0,0.12829,0.24531,0,0.06408
MLM,0.22529,0,0,0,0.07575,0,0,0.06389
MTB,0,0,0,0,0,0,0,0.06335
MAA,0.15576,0.28866,0,0,0.0796,0,0,0.06302
DTE,0,0,0,0,0,0,0,0.06241
HBAN,0,0,0,0,0,0,0,0.062
FTV,0,0,0,0,0,0,0,0.06193
DOV,0,0,0,0,0.05745,0,0,0.06193
STE,0,0,0,0,0.052,0,0,0.06109
PKI,0,0.23402,0,0,0.12235,0,0,0.06108
ALB,0,0.37323,0,0,0.08189,0,0,0.06095
FE,0,0,0,0,0,0,0,0.06069
ZBRA,0,0.21185,0,0,0.08882,0,0,0.06007
AEE,0,0,0,0,0,0,0,0.05921
IR,0,0,0,0,0,0,0,0.0592
ETR,0,0,0,0,0,0,0,0.05754
ABC,0.50613,0,0,0,0,0,0,0.05725
ESS,0.14054,0,0,0,0.04942,0,0,0.0558
GWW,0.29832,0,0,0,0,0,0,0.05537
DRE,0.15276,0,0,0,0.07148,0,0,0.05517
RJF,0,0.2267,0,0,0.06471,0,0,0.055
ULTA,0.44512,0,0,0,0.06239,0,0.37816,0.05472
NDAQ,0,0.30587,0,0,0.08457,0,0,0.05447
SBNY,0,0.40319,0,0,0.11139,0,0,0.05431
VRSN,0,0,0,0,0.05173,0.21547,0,0.05395
MPWR,0.12677,0.24497,0,0,0.10717,0.21905,0,0.05382
TDY,0,0,0,0,0,0,0,0.05381
WAT,0,0.22574,0,0,0.07811,0,0,0.05305
VFC,0,0,0,0,0,0,0.36256,0.05246
COO,0.23056,0,0,0,0,0,0,0.05237
ENPH,0,0,0,0,0.10248,0,0,0.05135
FLT,0,0,0,0,0,0,0,0.05111
CINF,0,0,0,0,0.04833,0,0,0.05106
DRI,0,0,0,0,0,0,0.35537,0.05102
RCL,0,0,0,0,0,0,0.34667,0.0508
TER,0.14169,0,0,0,0.10134,0.19915,0,0.05036
GNRC,0.25046,0.32479,0,0,0.10055,0,0,0.0502
POOL,0.51911,0.17611,0,0,0.0988,0,0.33559,0.04937
EXPD,0.29,0,0,0,0.09726,0,0,0.04926
CLX,0,0,0,0,0,0,0,0.04925
OMC,0.1525,0,0,0,0,0,0.3352,0.04924
AMCR,0,0,0,0,0,0,0,0.04915
TTWO,0.19268,0,0,0,0.0618,0,0.34237,0.04886
CCL,0,0,0,0,0,0,0.35665,0.04826
GPC,0,0,0,0,0,0,0.3344,0.04821
CMS,0,0,0,0,0,0,0,0.04813
BXP,0,0,0,0,0,0,0,0.0472
HOLX,0,0,0,0,0.07112,0,0,0.04714
GRMN,0.4054,0,0,0,0.04848,0,0.32731,0.04712
PEAK,0,0,0,0,0,0,0,0.04662
CTLT,0,0,0,0,0.0555,0,0,0.04654
TRMB,0,0,0,0,0.05243,0,0,0.04638
CZR,0,0,0,0,0.05915,0,0.30528,0.04584
K,0,0,0,0,0,0,0,0.04572
KMX,0,0,0,0,0.04958,0,0.32554,0.04571
TYL,0,0.19865,0,0,0.05698,0.17583,0,0.04556
MGM,0,0.14934,0,0,0,0,0.32141,0.04556
MRO,0,0,0,0,0,0,0,0.04555
CNP,0,0,0,0,0,0,0,0.04522
BR,0,0,0,0,0.03984,0,0,0.04518
NVR,0.41456,0,0,0,0.04331,0,0.3102,0.0443
XYL,0,0,0,0,0.03659,0,0,0.04425
NLOK,0,0,0,0,0,0.16381,0,0.04405
ETSY,0.44036,0,0,0,0.08744,0,0.30506,0.04395
LVS,0,0,0,0,0,0,0.29397,0.04381
AKAM,0,0,0,0,0.03738,0.17116,0,0.04338
CF,0,0.16011,0,0,0.05144,0,0,0.04326
LYV,0,0,0,0,0.03725,0,0.30652,0.0431
TECH,0,0.2219,0,0,0.0853,0,0,0.04298
JBHT,0,0,0,0,0.05077,0,0,0.04295
UDR,0,0,0,0,0.0473,0,0,0.04261
DPZ,0,0,0,0,0.05819,0,0.29804,0.04259
BRO,0,0,0,0,0.05839,0,0,0.04188
CE,0.19085,0,0,0,0.03686,0,0,0.04185
UAL,0,0,0,0,0,0,0.29074,0.04154
PAYC,0.09985,0,0,0,0.06275,0.17196,0,0.04145
J,0,0,0,0,0.03745,0,0,0.0414
FDS,0.36303,0.18029,0,0,0.04809,0,0,0.04066
TFX,0,0,0,0,0,0,0,0.04053
CRL,0,0.2051,0,0,0.08103,0,0,0.04047
FMC,0,0,0,0,0,0,0,0.03998
AVY,0.16889,0,0,0,0.0417,0,0,0.03991
IEX,0,0,0,0,0.03221,0,0,0.03957
PWR,0,0,0,0,0.04289,0,0,0.03935
AES,0,0,0,0,0,0,0,0.03908
IPG,0.14055,0.15191,0,0,0,0,0.26711,0.03898
MKTX,0.3399,0,0,0,0.0372,0,0,0.03897
PKG,0,0,0,0,0,0,0,0.03885
KIM,0,0,0,0,0,0,0,0.03875
LNT,1.3316,0,0,0,0,0,0,0.03856
MAS,0,0,0,0,0.03678,0,0,0.03762
AAP,0,0,0,0,0.03625,0,0.26125,0.03728
ABMD,0.13891,0,0,0,0.04094,0,0,0.03717
HRL,0,0,0,0,0,0,0,0.0368
BBWI,0,0.15986,0,0,0.04903,0,0.24071,0.03672
RHI,0.18175,0.20784,0,0,0.04979,0,0,0.03642
SEDG,0,0,0,0,0.05574,0,0,0.03632
HWM,0,0,0,0,0,0,0,0.03605
HST,0,0,0,0,0,0,0,0.03597
INCY,0,0,0,0,0.03022,0,0,0.03535
WRB,0,0,0,0,0,0,0,0.03494
CBOE,0,0.16009,0,0,0.0401,0,0,0.03485
HAS,0,0,0,0,0,0,0.23769,0.03478
JKHY,0.08727,0,0,0,0,0,0,0.03454
CTXS,0,0,0,0,0,0.13473,0,0.03437
CMA,0,0,0,0,0.0309,0,0,0.03394
NDSN,0,0,0,0,0.04042,0,0,0.03358
BIO,0,0,0,0,0.03801,0,0,0.0333
BFB,0.20484,0,0,0,0,0,0,0.03282
CHRW,0.16655,0,0,0,0,0,0,0.03246
AAL,0,0,0,0,0,0,0.21623,0.03223
PTC,0,0,0,0,0.0314,0.12253,0,0.0318
FBHS,0,0,0,0,0.02958,0,0,0.03179
XRAY,0,0,0,0,0,0,0,0.03165
APA,0,0,0,0,0.03505,0,0,0.03157
HSIC,0.1075,0,0,0,0,0,0,0.03135
NI,0,0,0,0,0,0,0,0.02935
ZION,0,0,0,0,0.02901,0,0,0.02921
TPR,0,0,0,0,0,0,0.20881,0.02857
REG,0,0,0,0,0,0,0,0.02857
SEE,0,0,0,0,0.0308,0,0,0.02772
ALLE,0.17246,0,0,0,0,0,0,0.02762
WYNN,0,0,0,0,0,0,0.18638,0.02702
LW,0,0,0,0,0,0,0,0.02699
GL,0,0,0,0,0,0,0,0.02635
AOS,0.13938,0,0,0,0.02587,0,0,0.02609
PNR,0,0,0,0,0.03034,0,0,0.02531
CDAY,0,0,0,0,0.02036,0.09321,0,0.02512
