,Shares,Cost Per Share,Cost Basis,Current Price,As of 2021-12-31,Return
EPAM,668.4500122070312,668.4500122070312,446825.4188195802,668.4500122070312,446825.4188195802,0.0
ZIM,58.86000061035156,58.86000061035156,3464.4996718505863,58.86000061035156,3464.4996718505863,0.0
LSCC,77.05999755859375,77.05999755859375,5938.243223730475,77.05999755859375,5938.243223730475,0.0
FIVE,206.88999938964844,206.88999938964844,42803.47184744873,206.88999938964844,42803.47184744873,0.0
OLPX,29.1299991607666,29.1299991607666,848.5568511062629,29.1299991607666,848.5568511062629,0.0
SQ,161.50999450683594,161.50999450683594,26085.478325598175,161.50999450683594,26085.478325598175,0.0
NOVA,27.920000076293945,27.920000076293945,779.5264042602539,27.920000076293945,779.5264042602539,0.0
DE,342.8900146484375,342.8900146484375,117573.56214560568,342.8900146484375,117573.56214560568,0.0
FDX,258.6400146484375,258.6400146484375,66894.65717734396,258.6400146484375,66894.65717734396,0.0
PDD,58.29999923706055,58.29999923706055,3398.8899110412603,58.29999923706055,3398.8899110412603,0.0
AMGN,224.97000122070312,224.97000122070312,50611.501449243166,224.97000122070312,50611.501449243166,0.0
PII,109.91000366210938,109.91000366210938,12080.208905004896,109.91000366210938,12080.208905004896,0.0
LOW,258.4800109863281,258.4800109863281,66811.91607949231,258.4800109863281,66811.91607949231,0.0
NET,131.5,131.5,17292.25,131.5,17292.25,0.0
MO,47.38999938964844,47.38999938964844,2245.8120421508793,47.38999938964844,2245.8120421508793,0.0
PM,95.0,95.0,9025.0,95.0,9025.0,0.0
SE,223.7100067138672,223.7100067138672,50046.1671039185,223.7100067138672,50046.1671039185,0.0
KO,59.209999084472656,59.209999084472656,3505.823991583253,59.209999084472656,3505.823991583253,0.0
FANG,107.8499984741211,107.8499984741211,11631.622170867922,107.8499984741211,11631.622170867922,0.0
CRM,254.1300048828125,254.1300048828125,64582.059381738305,254.1300048828125,64582.059381738305,0.0
ARCC,21.190000534057617,21.190000534057617,449.0161226333621,21.190000534057617,449.0161226333621,0.0
GILD,72.61000061035156,72.61000061035156,5272.212188635254,72.61000061035156,5272.212188635254,0.0
NFLX,602.4400024414062,602.4400024414062,362933.95654160157,602.4400024414062,362933.95654160157,0.0
UAL,43.77999877929688,43.77999877929688,1916.6882931152365,43.77999877929688,1916.6882931152365,0.0
LUV,42.84000015258789,42.84000015258789,1835.2656130737305,42.84000015258789,1835.2656130737305,0.0
ALK,52.09999847412109,52.09999847412109,2714.4098410034194,52.09999847412109,2714.4098410034194,0.0
CZR,93.52999877929688,93.52999877929688,8747.860671655275,93.52999877929688,8747.860671655275,0.0
PENN,51.84999847412109,51.84999847412109,2688.422341766359,51.84999847412109,2688.422341766359,0.0
ABNB,166.49000549316406,166.49000549316406,27718.9219291138,166.49000549316406,27718.9219291138,0.0
ADBE,567.0599975585938,567.0599975585938,321557.04083115235,567.0599975585938,321557.04083115235,0.0
AB,48.84000015258789,48.84000015258789,2385.345614904785,48.84000015258789,2385.345614904785,0.0
DOW,56.720001220703125,56.720001220703125,3217.158538476564,56.720001220703125,3217.158538476564,0.0
IBM,133.66000366210938,133.66000366210938,17864.99657895509,133.66000366210938,17864.99657895509,0.0
VZ,51.959999084472656,51.959999084472656,2699.8415048583993,51.959999084472656,2699.8415048583993,0.0
CVX,117.3499984741211,117.3499984741211,13771.022141876223,117.3499984741211,13771.022141876223,0.0
WBA,52.15999984741211,52.15999984741211,2720.6655840820313,52.15999984741211,2720.6655840820313,0.0
MRK,76.63999938964844,76.63999938964844,5873.689506445313,76.63999938964844,5873.689506445313,0.0
MMM,177.6300048828125,177.6300048828125,31552.418634667993,177.6300048828125,31552.418634667993,0.0
AZTA,103.11000061035156,103.11000061035156,10631.6722258667,103.11000061035156,10631.6722258667,0.0
QRVO,156.38999938964844,156.38999938964844,24457.83190909424,156.38999938964844,24457.83190909424,0.0
DFS,115.55999755859376,115.55999755859376,13354.113035742197,115.55999755859376,13354.113035742197,0.0
THS,40.52999877929688,40.52999877929688,1642.6808010498069,40.52999877929688,1642.6808010498069,0.0
BBWI,69.79000091552734,69.79000091552734,4870.6442277893075,69.79000091552734,4870.6442277893075,0.0
IGT,28.90999984741211,28.90999984741211,835.7880911773682,28.90999984741211,835.7880911773682,0.0
FIVN,137.32000732421875,137.32000732421875,18856.78441152349,137.32000732421875,18856.78441152349,0.0
ADSK,281.19000244140625,281.19000244140625,79067.81747299805,281.19000244140625,79067.81747299805,0.0
MARA,32.86000061035156,32.86000061035156,1079.779640112305,32.86000061035156,1079.779640112305,0.0
PTON,35.7599983215332,35.7599983215332,1278.7774799560575,35.7599983215332,1278.7774799560575,0.0
HLTH,13.40999984741211,13.40999984741211,179.8280959075928,13.40999984741211,179.8280959075928,0.0
JPM,158.35000610351562,158.35000610351562,25074.724432983436,158.35000610351562,25074.724432983436,0.0
BAM,60.380001068115234,60.380001068115234,3645.744528985597,60.380001068115234,3645.744528985597,0.0
AMAT,157.36000061035156,157.36000061035156,24762.169792089844,157.36000061035156,24762.169792089844,0.0
PEP,173.7100067138672,173.7100067138672,30175.166432531783,173.7100067138672,30175.166432531783,0.0
W,189.97000122070312,189.97000122070312,36088.60136379395,189.97000122070312,36088.60136379395,0.0
HUYA,6.940000057220459,6.940000057220459,48.163600794219974,6.940000057220459,48.163600794219974,0.0
BILI,46.400001525878906,46.400001525878906,2152.960141601565,46.400001525878906,2152.960141601565,0.0
IQ,4.559999942779541,4.559999942779541,20.793599478149417,4.559999942779541,20.793599478149417,0.0
JD,70.06999969482422,70.06999969482422,4909.804857232666,70.06999969482422,4909.804857232666,0.0
BIDU,148.7899932861328,148.7899932861328,22138.462102087447,148.7899932861328,22138.462102087447,0.0
BABA,118.79000091552734,118.79000091552734,14111.064317510987,118.79000091552734,14111.064317510987,0.0
DIDI,4.980000019073486,4.980000019073486,24.800400189971924,4.980000019073486,24.800400189971924,0.0
VZIO,19.43000030517578,19.43000030517578,377.52491185913095,19.43000030517578,377.52491185913095,0.0
NIO,31.68000030517578,31.68000030517578,1003.6224193359376,31.68000030517578,1003.6224193359376,0.0
Cash,-32865956.146467745,1.0,-32865956.146467745,1.0,-32865956.146467745,0.0
Total,,,1000370.4191155098,,1000370.4191155098,0.0
